date,sales,date,Year,Month,Year_month,Weekday,Day,ret_1,ret_2,ret_7,dcoilwtico
2013-01-01,49807.78001,2013-01-01,2013,1,2013-01,Tuesday,1,,,,93.14
2013-01-02,49807.78001,2013-01-02,2013,1,2013-01,Wednesday,2,49807.78001,,,93.14
2013-01-03,37982.626019999996,2013-01-03,2013,1,2013-01,Thursday,3,49807.78001,49807.78001,,92.97
2013-01-04,37766.5530085,2013-01-04,2013,1,2013-01,Friday,4,37982.626019999996,49807.78001,,93.12
2013-01-05,44355.684999000005,2013-01-05,2013,1,2013-01,Saturday,5,37766.5530085,37982.626019999996,,93.2
2013-01-06,45127.59702,2013-01-06,2013,1,2013-01,Sunday,6,44355.684999000005,37766.5530085,,93.2
2013-01-07,38423.112118,2013-01-07,2013,1,2013-01,Monday,7,45127.59702,44355.684999000005,,93.2
2013-01-08,33277.844997,2013-01-08,2013,1,2013-01,Tuesday,8,38423.112118,45127.59702,49807.78001,93.21
2013-01-09,36970.283993000005,2013-01-09,2013,1,2013-01,Wednesday,9,33277.844997,38423.112118,49807.78001,93.08
2013-01-10,30408.72004,2013-01-10,2013,1,2013-01,Thursday,10,36970.283993000005,33277.844997,37982.626019999996,93.81
2013-01-11,31743.07,2013-01-11,2013,1,2013-01,Friday,11,30408.72004,36970.283993000005,37766.5530085,93.6
2013-01-12,39523.017019,2013-01-12,2013,1,2013-01,Saturday,12,31743.07,30408.72004,44355.684999000005,94.27
2013-01-13,41332.24498,2013-01-13,2013,1,2013-01,Sunday,13,39523.017019,31743.07,45127.59702,94.27
2013-01-14,32956.497,2013-01-14,2013,1,2013-01,Monday,14,41332.24498,39523.017019,38423.112118,94.27
2013-01-15,38582.55698,2013-01-15,2013,1,2013-01,Tuesday,15,32956.497,41332.24498,33277.844997,93.26
2013-01-16,36547.52997,2013-01-16,2013,1,2013-01,Wednesday,16,38582.55698,32956.497,36970.283993000005,94.28
2013-01-17,29186.319,2013-01-17,2013,1,2013-01,Thursday,17,36547.52997,38582.55698,30408.72004,95.49
2013-01-18,31764.603030000002,2013-01-18,2013,1,2013-01,Friday,18,29186.319,36547.52997,31743.07,95.61
2013-01-19,40116.17702,2013-01-19,2013,1,2013-01,Saturday,19,31764.603030000002,29186.319,39523.017019,96.09
2013-01-20,39616.648998000004,2013-01-20,2013,1,2013-01,Sunday,20,40116.17702,31764.603030000002,41332.24498,96.09
2013-01-21,33585.371989,2013-01-21,2013,1,2013-01,Monday,21,39616.648998000004,40116.17702,32956.497,96.09
2013-01-22,31506.33201,2013-01-22,2013,1,2013-01,Tuesday,22,33585.371989,39616.648998000004,38582.55698,96.09
2013-01-23,33778.200037,2013-01-23,2013,1,2013-01,Wednesday,23,31506.33201,33585.371989,36547.52997,95.06
2013-01-24,28498.527024,2013-01-24,2013,1,2013-01,Thursday,24,33778.200037,31506.33201,29186.319,95.35
2013-01-25,31956.456989,2013-01-25,2013,1,2013-01,Friday,25,28498.527024,33778.200037,31764.603030000002,95.15
2013-01-26,39490.584,2013-01-26,2013,1,2013-01,Saturday,26,31956.456989,28498.527024,40116.17702,95.95
2013-01-27,35270.552020999996,2013-01-27,2013,1,2013-01,Sunday,27,39490.584,31956.456989,39616.648998000004,95.95
2013-01-28,32584.16401,2013-01-28,2013,1,2013-01,Monday,28,35270.552020999996,39490.584,33585.371989,95.95
2013-01-29,29415.274997,2013-01-29,2013,1,2013-01,Tuesday,29,32584.16401,35270.552020999996,31506.33201,97.62
2013-01-30,34101.188995000004,2013-01-30,2013,1,2013-01,Wednesday,30,29415.274997,32584.16401,33778.200037,97.98
2013-01-31,31438.443976,2013-01-31,2013,1,2013-01,Thursday,31,34101.188995000004,29415.274997,28498.527024,97.65
2013-02-01,39092.721040000004,2013-02-01,2013,2,2013-02,Friday,1,31438.443976,34101.188995000004,31956.456989,97.46
2013-02-02,46357.328028,2013-02-02,2013,2,2013-02,Saturday,2,39092.721040000004,31438.443976,39490.584,96.21
2013-02-03,40200.200026,2013-02-03,2013,2,2013-02,Sunday,3,46357.328028,39092.721040000004,35270.552020999996,96.21
2013-02-04,37600.069042,2013-02-04,2013,2,2013-02,Monday,4,40200.200026,46357.328028,32584.16401,96.21
2013-02-05,33471.12801,2013-02-05,2013,2,2013-02,Tuesday,5,37600.069042,40200.200026,29415.274997,96.68
2013-02-06,37009.58708,2013-02-06,2013,2,2013-02,Wednesday,6,33471.12801,37600.069042,34101.188995000004,96.44
2013-02-07,32135.749037999998,2013-02-07,2013,2,2013-02,Thursday,7,37009.58708,33471.12801,31438.443976,95.84
2013-02-08,38338.059991999995,2013-02-08,2013,2,2013-02,Friday,8,32135.749037999998,37009.58708,39092.721040000004,95.71
2013-02-09,42852.788,2013-02-09,2013,2,2013-02,Saturday,9,38338.059991999995,32135.749037999998,46357.328028,97.01
2013-02-10,24927.904010000002,2013-02-10,2013,2,2013-02,Sunday,10,42852.788,38338.059991999995,40200.200026,97.01
2013-02-11,23954.663951000002,2013-02-11,2013,2,2013-02,Monday,11,24927.904010000002,42852.788,37600.069042,97.01
2013-02-12,27451.41299,2013-02-12,2013,2,2013-02,Tuesday,12,23954.663951000002,24927.904010000002,33471.12801,97.48
2013-02-13,35326.885005,2013-02-13,2013,2,2013-02,Wednesday,13,27451.41299,23954.663951000002,37009.58708,97.03
2013-02-14,31515.818987,2013-02-14,2013,2,2013-02,Thursday,14,35326.885005,27451.41299,32135.749037999998,97.3
2013-02-15,35060.227001,2013-02-15,2013,2,2013-02,Friday,15,31515.818987,35326.885005,38338.059991999995,95.95
2013-02-16,47083.676030999995,2013-02-16,2013,2,2013-02,Saturday,16,35060.227001,31515.818987,42852.788,96.69
2013-02-17,33589.108993,2013-02-17,2013,2,2013-02,Sunday,17,47083.676030999995,35060.227001,24927.904010000002,96.69
2013-02-18,40106.986099999995,2013-02-18,2013,2,2013-02,Monday,18,33589.108993,47083.676030999995,23954.663951000002,96.69
